class,class_str,count,percentage,avg_energy,std_energy,avg_ca_distance,std_ca_distance,chi1_mean,chi1_std,chi2_mean,chi2_std,chi3_mean,chi3_std,chi4_mean,chi4_std,chi5_mean,chi5_std
22222,+++++,8254,4.709117568192061,3.7674636354399906,1.5614558641801832,6.407103294381176,0.65058305794119,161.7731613852264,42.7790747532014,115.89534319851307,23.428409220944815,75.40701057680755,16.115811966167623,148.94953591581162,32.35053400070167,69.99715763416353,38.53811670318517
22220,++++-,3581,2.043051855063699,3.6304161873347742,2.435667190949955,6.013973019713485,0.9556095610707974,120.81780982214494,58.67961696692982,87.33716815948016,33.08099016815789,89.1843566579803,22.23505865753261,91.8319043336696,39.51381752419364,-134.8476609435901,49.086404195428806
22202,+++-+,895,0.5106203323881627,5.514460616916584,3.0318713956342935,6.33287681053896,3.6306231999281215,90.21481740079388,49.822816441371536,113.44558693321777,43.69094430049031,88.34189348415647,40.75446811362446,-147.2699032931986,30.95230440683385,66.85513586881135,30.94062792406428
22200,+++--,8169,4.660622899752963,3.139987627278901,2.256899291683554,5.178619956761039,1.1748398878537403,91.69040045372127,52.36382385005717,88.73338244142909,29.787621103232713,97.4676149435873,18.587336158528927,-75.22116320288052,32.52303079371758,-65.64340114319614,21.292696239634676
22022,++-++,579,0.33033427089692313,5.136138964247342,3.614723267936448,5.9282165172245325,3.9392949397907477,126.5444413695868,55.07277410583396,147.62578810480906,32.731018176555146,-79.30554348232408,38.425491408656434,142.90385380523932,40.252087850138075,136.42699856240102,53.075675306491995
22020,++-+-,1791,1.0218111902873737,4.723493342052052,3.220761142954939,5.171273865620175,1.6549417263582242,115.99150877209274,54.65877742486017,127.26325902585586,42.761349885422234,-92.07884386998306,29.420442091068217,119.13901093684609,47.423024836225466,-116.90799182127273,57.65299135071338
22002,++--+,2052,1.170718348670961,3.9624907890453467,3.0986766507537675,6.149045921131027,1.9433551296454683,162.05547779375362,42.929145935849334,147.3423532453304,36.12798149265491,-80.08511440617546,30.065390391876402,-144.80226172010228,34.99428577976763,136.52380676039348,54.265609958219734
22000,++---,3652,2.0835591663481234,3.4058690878617175,2.680978573523922,5.55697773855727,0.8182480379254463,134.51502779699572,55.44605109653226,130.86346093361345,37.2913950643444,-92.39920305590628,24.182422032523448,-97.44022036001951,50.68772489482872,-92.67481530525643,51.73325352808765
20222,+-+++,1159,0.6612390673048946,6.271349573126987,2.591452836923059,6.477545374312678,0.899365859226382,69.9023709187994,40.33883242497039,-150.68031489483553,29.138108851379894,109.06487506127348,39.568822299741456,149.54311951220615,38.106063956721954,91.18116134248267,42.35537828031811
20220,+-++-,1907,1.087992149568968,4.854636815801748,2.918232058037689,5.766509973548235,1.7192917897399207,121.08738270528403,52.74809145614877,-134.6911954446515,33.45626844775146,87.14978147388275,30.79082266805687,93.09350702317755,36.28983215249363,-79.4880423354325,40.88882440036411
20202,+-+-+,538,0.30694272494394587,7.533321620556357,2.9444529478706953,6.077723536981981,3.5829704455888556,89.67964354432435,50.71131445182123,-137.53147603191863,41.136628007027085,117.61142145760297,46.201810434289904,-124.43896452053784,50.46701497103655,63.93735088480055,34.59046259603012
20200,+-+--,745,0.42504150573092875,5.985952673437373,2.839845379943866,5.515112723239573,2.7691007956381677,93.19350769799375,55.5201270471496,-143.38408531727063,30.605050007811965,97.26435538002947,37.768501178611984,-112.03925093352144,38.57154644790791,-64.40706837643812,28.240355120538702
20022,+--++,823,0.4695424955926904,4.771122629015433,2.731123628147055,5.8096786630446715,0.7375713305460159,67.61781109485243,45.746657219213546,-118.71765789692611,35.26831046156035,-94.76851118521977,29.947508567039545,120.1844425635585,42.30407514867728,94.70170000664875,62.54620429369295
20020,+--+-,1258,0.7177210928986689,5.824373361374172,3.192379177330117,5.988402654509136,2.025174593646025,91.27753512581928,52.35001191548333,-133.09831315263128,35.496946052881746,-99.08438115047413,33.91629854506247,113.38663131663483,46.12552201990335,-134.52272703892157,45.83056390030845
20002,+---+,1611,0.919116598298693,4.254308827422953,2.9919194545332677,6.412072138717843,2.228955045785834,113.16936803646148,58.44307492955511,-137.81291120022675,39.23659304212752,-82.3081165498109,29.46920773047026,-130.24671966035325,39.733410379924315,119.40392052159162,56.81636719070036
20000,+----,5007,2.85662123381847,3.4799653131216437,2.101264750966225,6.123423993534517,0.7189660205080987,84.503842223802,54.339737379329705,-110.02299989548759,34.451934565970156,-87.1269302808786,19.170391476652963,-86.71946334474856,38.821213898256644,-101.5288934552935,52.25366057537245
02222,-++++,7641,4.359385429919499,4.1187618414491185,1.9006363019060482,6.309293828770659,0.5742062723193779,-160.81064356564278,37.910044573957705,107.17829361374304,29.028417058942047,75.65174613235074,19.405563374558252,134.3236932042668,37.15161699258123,78.61484572859108,49.09594704667128
02220,-+++-,8989,5.128453818812508,3.458039218695738,2.4731644295637962,5.960375186989572,2.0076824457781517,-125.14758907259554,49.594291886409,99.78152036841081,48.21368492718347,87.7165273341701,21.103437800776593,96.5112078079186,44.2807678989361,-115.85943911109695,52.944542178248554
02202,-++-+,1021,0.5825065467802393,6.146104282804823,2.8964074270944984,6.497520450042816,5.553443377580644,-106.4543127284861,50.16144196922015,107.97353121908853,38.02517151038728,99.46113602954227,39.18592778593556,-132.502868410449,32.61390024550863,74.84768313695041,45.85879653152314
02200,-++--,7115,4.059289011108132,4.016266641439434,2.968584466650366,5.527606292820476,2.06055815894268,-127.98913829760939,48.497568214726854,87.56726942278584,39.66760351407982,101.4025161188443,25.359906152545793,-107.585591294925,48.15869884352533,-65.22916053978194,22.577052441233285
